"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"63c7d479f8e3360c1c2ef567","e96036dc-b205-4910-a047-7a682c5e1aea","PHYSICAL","props","fur0001-bdnh4-fdawr","FUR0001 Blue Office Chair","<p class="""">Blue retro vinyl office chair, very cool and stylish.</p><p class="""">18.5 x 17 x 18.5</p>","SQ6043010","Color","Blue","Material","Metal, Vinyl","Quantity","1","","","","","","","40.00","0.00","No","1","/furniture/seating/office-chairs, /era/1980s-","Blue, Chair, Office, Rolling, Retro, Wheels, Vinyl, 70s, 80s, 60s, Metal","1.0","18.5","17.0","18.5","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441690-HVCRY3K9VYG6DAD7JBVE/FUR0001-023.jpg"
"63c7d486f8e3360c1c2f0d32","53a56330-4c4e-4e98-b559-4b38591f6298","PHYSICAL","props","fur0002-d3eps-5txre","FUR0002 Black Folding Chair","<p class="""">Swiftly accommodate unexpected guests with these handy folding chairs!</p><p class="""">17 x 15.5 x 30</p>","SQ4272427","Color","Black","Material","Metal, Vinyl","Quantity","4","","","","","","","20.00","0.00","No","2","/furniture/seating/office-chairs","Black, Chair, Office, Folding, Fold Out, Vinyl","1.0","17.0","15.5","30.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040454037-4TF110F5GAJQI9JAMSBA/FUR0002-024.jpg"
"63c7d471f8e3360c1c2ee532","c756bf72-7a22-4988-a042-aa60d4387815","PHYSICAL","props","fur0003-9xg8d-5js3a","FUR0003 Wooden Stool","<p class="""">Perch upon this light wood stool while you paint your masterpiece. Counter height</p><p class="""">9 x 18 x 28.5</p>","SQ1758538","Color","","Material","Wood","Quantity","1","","","","","","","25.00","0.00","No","1","/furniture/seating/stools","Wood, Stool, Paint, School, Studio, Timeless","1.0","9.0","18.0","28.5","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040433056-QMISBZFAM0G03K9NOUE8/FUR0003-029.jpg"
"63c7d48af8e3360c1c2f1655","0876453f-d9f7-4940-98d9-3c966bc9a9d3","PHYSICAL","props","fur0004-hxpb9-m8sk6","FUR0004 Industrial Swivel Chair","<p class="""">16 x 16.5 x 37</p>","SQ0448320","Color","Black","Material","Wood, Metal","Quantity","1","","","","","","","40.00","0.00","No","1","/furniture/seating/office-chairs, /era/contemporary","Industrial, Modern, Wood, Metal, Swivel, Office, Work, Workspace, School","1.0","16.0","16.5","37.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040458627-ZJ40R2LHD39CRJLJWFD2/FUR0004-031.jpg"
"63c7d46cf8e3360c1c2edd15","349d7e2b-077a-48ce-a347-09e8214c50c1","PHYSICAL","props","fur0005-zy5wr-cbsmc","FUR0005 Beige Office Chair","<p class="""">Live your 9-5 fantasy in this pleather office chair!</p><p class="""">22 x 20 x 36</p>","SQ4580040","Color","White","Material","Leather","Quantity","1","","","","","","","35.00","0.00","No","1","/furniture/seating/office-chairs, /era/1980s-","Nude, Chair, Office, Swivel, Wheels, Pleather, Leatherette, Beige, 60s, 70s","1.0","22.0","20.0","36.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040428874-0RNKQBY8Z7JA0XVWAAUR/FUR0005-034.jpg"
"63c7d485f8e3360c1c2f0c6a","3b8118f9-96f7-4f3c-b21d-07894739b63a","PHYSICAL","props","fur0006-5amzm-sc268","FUR0006 White Wooden Stool","<p class="""">Shabby chic white wooden stool</p><p class="""">12.5 x 12.5 x 23.5</p>","SQ3111241","Color","White","Material","Wood","Quantity","1","","","","","","","20.00","0.00","No","1","/furniture/seating/stools","Stool, White, Painted, Wood, School, rustic, wethered, distressed, counter","1.0","12.5","12.5","23.5","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040453591-4RX5AW2ZYOU0VEEZZIBL/FUR0006-044.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040453596-M650W7AI48QEVEH084KZ/FUR0006-039.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040453601-UXJ79TCJQFJWHSSJTJH1/FUR0006-044.jpg"
"63c7d47ff8e3360c1c2f0116","f3d2108b-01da-4af8-9d49-18ad785f6cbd","PHYSICAL","props","fur0008-ywtjr-bngpw","FUR0008 Modern Wood Side Table","<p class="""">Class it up with this beautiful blonde Scandinavian dream.</p><p class="""">19.5 x 19.5 x 17</p>","SQ5038475","Color","","Material","Wood","Quantity","1","","","","","","","80.00","0.00","No","1","/era/contemporary, /furniture/tables/side-table","Modern, Contemporary, Wood, Side Table, Scandanavian, Coffee Table, End Table, Accent Table, Tripod","1.0","19.5","19.5","17.5","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040447770-PFWQKVB6O0IPT6DERMZP/FUR0008-049.jpg"
"63c7d46cf8e3360c1c2edbad","e03fda0d-265a-41bf-82f8-96ca1a8928bd","PHYSICAL","props","fur0009-2e6be-t3y8b","FUR0009 Short White Stool","<p> Relive your art school days with this white stool. Paint drips included. </p>","SQ6880005","Color","White","Material","Wood","Quantity","1","","","","","","","25.00","0.00","No","1","/furniture/seating/stools","Stool, White, Painted, Wood, Short","1.0","14.0","14.0","18.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040428057-1Y3A8BZTM8APJEXLR1XC/FUR0009-058.jpg"
"63c7d470f8e3360c1c2ee43a","1a934990-45bc-46a2-87f3-15680290a8cd","PHYSICAL","props","fur0010-4xjry-t35rl","FUR0010 Brass & Acrylic Tray Table","<p class="""">It's giving me Matilda vibes. This acrylic tray table will have you enjoying your microwave TV dinners in style.</p><p class="""">16 x 21 x 25</p>","SQ2038270","Color","White","Material","Acrylic","Quantity","1","","","","","","","65.00","0.00","No","1","/era/1950s-1960s, /era/1980s-, /furniture/tables/side-table","Table, Acrylic, Tray, Brass, Fern, Folding, White, Unique, Vintage, retro, tv dinner","1.0","16.0","21.0","25.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040432576-445AN9NCDBOR1DFI9OYP/FUR0010-077.jpg"
"63c7d469f8e3360c1c2ed766","3e0d5b75-ab64-46d9-8d58-eb369c075297","PHYSICAL","props","fur0011-s6mxr-mhbx5","FUR0011 Rustic Dining Chair","<p class="""">Rustic but sassy! At first this may seem like a tired old chair, but wow, look at that velvet stripe; you didn’t see that comin’.</p><p class="""">17 x 21 x 33.5</p>","SQ8026538","Color","Green, Grey","Material","Wood","Quantity","1","","","","","","","35.00","0.00","No","1","/furniture/seating/dining-chairs, /era/1920s-1940s","Wood, Suede, Timeless, Dining Chair, 50's, 60's, 70's, Upholstered, Vintage, Antique","1.0","17.0","21.0","33.5","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040425784-SBOOO0Y3F0K3SP9LW58A/FUR0011-080.jpg"
"63c7d474f8e3360c1c2eeb3a","807cb8a1-39d9-4575-8e78-f8c4484ea6de","PHYSICAL","props","fur0012-6zyfl-69w7s","FUR0012 Industrial Stool","<p class="""">Rustic wire stool. Would also make an attractive plant stand.</p><p class="""">11.5 x 11.5 x 25</p>","SQ0043784","Color","Brown","Material","Wood, Metal","Quantity","1","","","","","","","35.00","0.00","No","1","/furniture/seating/stools, /era/1800s","Wood, Metal, Rustic, Stool, Antique, Unique, Vintage, industrial","1.0","11.5","11.5","25.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040436346-JE8BDAA0FAY3OBW7JMVS/FUR0012-082.jpg"
